timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
6m,peak_latency_P1_corrected,Tryptophan synthesis,0.0028,-0.15996056898929617,"[1812, 2052, 4874, 6546, 7369, 13434, 15932, 21115, 23253, 27612, 40702, 41427, 43570, 44165, 46643, 46751, 47731, 54886, 55548, 56084, 56206, 59620, 62253, 67515, 80521, 81361, 81941, 82121, 82314, 94767, 100797, 104424, 110229, 112019, 118965, 131928, 145885, 152208, 158453, 158629, 158868, 159222, 172515, 186304, 194225, 198327, 204282, 226781, 235670, 236391, 237441, 237666, 237939, 246446, 259776, 261850, 286807, 303591, 304285, 336225, 337109, 338509, 338516, 345456, 345762, 348882, 350914, 389540, 390479, 399280, 399327, 399380, 405829, 405835, 423618, 423779, 424192, 450572, 450885, 450981, 460705, 464565, 471701, 478521, 481195, 500287, 502823, 517200, 517403, 524185, 535455, 547737, 549796, 553582, 561345, 575700, 578010, 585324, 593116, 597975, 601379, 604372, 628791, 632401, 634226, 637371]",641532,0.07294736842105262,0.057,0.0108
6m,peak_amp_N1,Tryptophan synthesis,0.003,0.15317924584191506,"[2082, 2342, 5345, 7292, 8369, 17162, 18917, 21312, 25678, 28933, 31632, 37039, 45072, 53455, 54364, 57110, 57906, 61208, 61345, 62687, 64308, 71323, 72236, 72338, 73079, 74090, 74927, 75106, 77454, 80664, 84776, 92592, 94091, 110531, 112271, 113449, 113566, 113774, 114087, 140749, 146375, 154601, 160564, 162950, 200143, 203579, 206200, 214076, 221910, 222131, 222443, 222912, 239854, 258722, 269147, 274158, 281581, 304751, 308574, 312793, 313053, 316003, 325862, 326818, 328206, 328488, 328823, 339741, 341156, 357563, 360383, 392305, 418733, 419740, 431902, 433966, 441606, 464570, 465708, 467447, 467455, 476205, 476577, 482087, 484773, 522411, 535564, 536339, 537785, 550660, 550721, 550786, 559678, 559694, 584411, 584621, 585137, 585685, 620689, 620875, 621318, 621433, 629582, 634120, 640097, 641133]",641532,0.07294736842105262,0.057,0.0108
12m,peak_latency_N1,Glutamate synthesis,0.0038,0.2172116517594379,"[1630, 9213, 10184, 11120, 23761, 25326, 36528, 38002, 43385, 44295, 53465, 57194, 60063, 112441, 161716, 176037, 227405, 235777, 236946, 252687, 260680, 266986, 270134, 270206, 298534, 362374, 379625, 380298, 381758, 382740, 385845, 386164, 391315, 423350, 435138, 516261, 531171, 554023, 577514, 582622, 591355, 592816, 600492, 618881, 630303, 633466, 684002, 684106, 691556, 694641, 695707, 696346, 708462, 716348, 729442]",733856,0.07294736842105262,0.0399,0.0189
12m,peak_latency_N2_corrected,Menaquinone synthesis,0.0034,-0.18099306307873053,"[6251, 10765, 24544, 41081, 44782, 50614, 51674, 59080, 60382, 60632, 64768, 95494, 108175, 109002, 110628, 120971, 128404, 135761, 169874, 172068, 183382, 196568, 208078, 208382, 217301, 226148, 234810, 244333, 244834, 248201, 260072, 262430, 273107, 279835, 290638, 296043, 299652, 344580, 353207, 356085, 358086, 365311, 376129, 376266, 379280, 406743, 414914, 425787, 427214, 427960, 431527, 434576, 439898, 451295, 459264, 465291, 466233, 468219, 469969, 487647, 501106, 502713, 506821, 513481, 526552, 527503, 533675, 542431, 559930, 560126, 587347, 633187, 637053, 664789, 691691, 699323, 699390, 705253, 716057, 720199, 721561, 730669]",733858,0.07294736842105262,0.0399,0.020399999999999998
12m,peak_latency_N2_corrected,Acetate synthesis,0.0028,-0.18672634047484277,"[3203, 7903, 8887, 9875, 9934, 10901, 11461, 14786, 16382, 16671, 21651, 24027, 24731, 26950, 35071, 59921, 60773, 61318, 62448, 75713, 79536, 120253, 130841, 136261, 151614, 171621, 194232, 195048, 203215, 203886, 204761, 206196, 206990, 234127, 247216, 262348, 267063, 269097, 269444, 273241, 292177, 317265, 349330, 377425, 398093, 400672, 405310, 415675, 426422, 426634, 432495, 439791, 457458, 463765, 465507, 472804, 473644, 479111, 483575, 496424, 496641, 520220, 525981, 526332, 529307, 530879, 556000, 566449, 570252, 582193, 627004, 634974, 667577, 669890, 683173, 689177, 695586, 702012, 714364, 717937, 718477, 718769, 731775]",733858,0.07294736842105262,0.0399,0.0168
12m,peak_latency_N2_corrected,Propionate degradation,0.0036,0.5365197247393881,"[55360, 222493, 280973, 292429, 356001, 620289, 650240, 675113]",733858,0.07294736842105262,0.0399,0.0648
12m,peak_amp_N1,Glutamate synthesis,0.0042,0.21795205592987554,"[543, 6069, 6920, 7666, 7939, 7990, 8742, 28757, 29581, 35351, 56815, 57644, 101038, 101763, 129160, 132140, 138031, 156059, 161924, 163264, 169886, 175413, 209943, 236713, 239395, 244095, 244333, 249491, 255847, 290991, 305374, 309237, 315231, 331930, 333860, 333883, 357154, 399104, 419992, 433039, 466259, 531277, 535630, 538861, 555221, 568067, 587519, 588131, 602880, 616089, 616247, 627234, 632011, 690085, 724255]",733857,0.07294736842105262,0.0399,0.0189
12m,peak_amp_P1_corrected,Glutamate synthesis,0.003,-0.22708647440441573,"[2853, 3170, 16713, 18372, 18630, 19806, 20451, 22038, 26090, 38972, 39623, 41580, 63334, 63543, 70477, 72213, 87459, 88343, 90641, 92793, 97013, 107417, 121634, 129134, 130268, 141741, 142876, 188628, 189536, 200231, 257245, 281076, 311960, 329987, 344870, 360335, 371719, 381926, 404388, 473715, 495220, 520832, 530694, 535716, 558522, 593928, 599231, 604317, 641739, 670270, 670462, 679045, 700211, 706720, 732821]",733857,0.07294736842105262,0.0399,0.0189
12m,peak_amp_N2_corrected,Butyrate synthesis,0.0042,0.33603386483087405,"[31055, 119108, 120902, 133387, 134267, 142543, 162060, 178521, 180269, 201271, 203555, 213125, 215759, 278060, 281871, 308556, 309327, 381001, 382354, 383651, 391245, 481204, 655140]",733856,0.07294736842105262,0.0399,0.0756
12m,peak_amp_N2_corrected,Propionate synthesis,0.0058,0.34188094803467606,"[32081, 129435, 152510, 157244, 168807, 170805, 185959, 195675, 198870, 217989, 282603, 306663, 310891, 485662, 501949, 507628, 541738, 594179, 605463, 619700, 620158, 635623, 638179]",733856,0.0957,0.050861538461538465,0.10439999999999999
3m,peak_latency_P1_corrected,Tryptophan synthesis,0.0066,-0.16950316341001925,"[280, 6875, 8912, 13492, 35089, 51071, 53895, 60803, 63313, 66742, 68231, 75519, 77069, 79231, 81146, 82387, 82741, 87583, 88838, 112671, 114913, 121316, 122235, 142701, 143091, 148241, 153730, 154482, 177148, 178215, 180663, 194971, 201565, 208303, 215412, 222975, 226361, 227036, 236185, 236442, 242542, 257359, 258721, 264839, 272104, 272466, 281973, 297599, 312923, 320802, 323481, 329224, 349422, 352459, 360441, 364029, 364824, 364840, 364909, 373510, 380630, 384165, 393160, 395781, 395976, 396064, 396946, 405142, 427244, 427309, 432791, 440926, 449994, 463241, 467142, 490690, 518559, 533481, 542212, 548099, 548208, 557805, 563224, 563850, 564553]",572522,0.10043478260869565,0.3366,0.019799999999999998
12m,peak_amp_N1,Menaquinone synthesis,0.007,0.1714502102807816,"[4332, 9882, 16878, 26319, 26926, 30770, 40253, 48030, 48710, 49248, 52036, 53761, 59061, 59542, 64445, 65833, 66006, 82025, 105581, 110751, 114159, 121572, 125848, 141834, 143199, 158790, 159888, 168675, 175063, 175947, 177503, 177542, 195605, 196837, 212284, 215114, 228258, 232570, 239461, 254283, 257526, 277069, 296639, 301985, 304794, 309639, 336399, 346664, 387394, 401340, 405018, 408117, 427322, 450480, 452324, 465704, 473074, 483651, 492669, 539906, 543445, 564532, 564590, 566564, 568387, 573068, 574975, 576239, 593449, 599863, 605566, 607102, 607402, 630562, 637309, 647157, 669220, 691064, 697324, 699081, 699356, 719973]",733857,0.10043478260869565,0.052725,0.0315
12m,peak_amp_N1,Glutamate degradation,0.007,-0.37291286532096185,"[101038, 101763, 122198, 149317, 156059, 184501, 187669, 232883, 232895, 274083, 290950, 436362, 507127, 513107, 515932, 518425]",733857,0.10043478260869565,0.052725,0.1026
