timepoint,eeg_feature,geneset,pvalue,es,ranks,nfeatures,q₀,qₜ,qᵧ
3m_future12m,peak_amp_P1_corrected,Propionate degradation,0.0,0.7483731548345642,"[2116, 10958, 72257, 75829, 77161, 78276, 217707]",574278,0.0,0.0,0.0
3m_future12m,peak_amp_N2_corrected,GABA synthesis,0.0,-0.5373093709015864,"[5579, 30065, 41095, 99570, 103008, 118479, 119448, 123565, 164977, 192448, 203496, 358394, 402795, 510884]",574278,0.0,0.0,0.0
3m_future12m,peak_amp_N2_corrected,Propionate degradation,0.0,-0.6915567737183316,"[713, 3673, 4483, 6446, 23253, 138632, 277845]",574278,0.0,0.0,0.0
6m_future12m,peak_latency_N1,Quinolinic acid synthesis,0.0,-0.4661759365110035,"[1417, 4213, 37645, 64246, 68202, 102977, 106045, 109016, 174059, 174190, 196873, 245119, 248793, 259168, 265531, 268359, 283557, 296687, 349421, 472372]",558983,0.0,0.0,0.0
6m_future12m,peak_latency_P1_corrected,Glutamate synthesis,0.0,0.35651641463201467,"[1404, 4491, 4768, 14095, 42311, 43393, 53441, 54357, 69012, 70996, 78093, 79724, 79866, 83566, 85988, 88246, 93015, 108953, 131766, 132233, 171101, 171797, 173389, 185089, 186066, 186884, 193030, 219934, 228113, 237877, 251597, 268726, 276201, 295448, 311780, 314477, 322406, 339246, 354483, 428864, 429848, 442084, 455068, 459800, 475426, 476291, 510484, 522172, 522669, 523711, 534693]",558681,0.0,0.0,0.0
6m_future12m,peak_latency_P1_corrected,Quinolinic acid synthesis,0.0,0.4774360479790069,"[42404, 60039, 77611, 102361, 115257, 132190, 157490, 185079, 185809, 219301, 240531, 253523, 256338, 259491, 281665, 312710, 405361, 429366, 442392, 531534]",558681,0.0,0.0,0.0
6m_future12m,peak_latency_P1_corrected,Acetate synthesis,0.0,0.2947485705488304,"[8217, 10581, 12561, 20679, 21805, 39620, 42207, 43068, 43102, 46744, 49258, 51859, 51929, 52360, 56944, 56974, 60541, 60645, 70047, 74227, 75102, 77949, 81804, 82557, 85617, 90117, 90217, 96219, 119706, 131858, 134950, 148018, 150792, 171945, 180972, 200843, 207282, 212913, 227523, 256211, 262673, 268660, 269397, 273489, 286821, 288426, 295672, 297454, 297700, 314377, 320252, 321942, 324748, 331206, 355652, 368143, 371909, 389232, 401438, 405135, 413308, 414290, 419407, 431915, 437977, 439685, 439748, 447709, 458977, 479446, 480575, 502808, 522960, 525302, 531646]",558681,0.0,0.0,0.0
6m_future12m,peak_latency_N2_corrected,GABA synthesis,0.0,0.6185459244406952,"[30131, 67648, 80857, 85974, 90326, 93101, 112518, 119858, 142398, 162921, 173536, 182382, 495990]",558983,0.0,0.0,0.0
3m_future12m,peak_latency_N1,Tryptophan synthesis,0.0002,-0.21277067133606897,"[1740, 2081, 4985, 7028, 7368, 7850, 8796, 9282, 15733, 16078, 17931, 39194, 43531, 65516, 65764, 66414, 67447, 82454, 88887, 106602, 107461, 107526, 107604, 108288, 114169, 115949, 117713, 139131, 144865, 148410, 164063, 173857, 195757, 198814, 200764, 208730, 215011, 233223, 235085, 260477, 264928, 265754, 271021, 277479, 279440, 280152, 284662, 284848, 285163, 289831, 300153, 303300, 304825, 307675, 318100, 320502, 324586, 326935, 329836, 332780, 343996, 350416, 357945, 364244, 370425, 375329, 378548, 392816, 399512, 404821, 405577, 409469, 419848, 421430, 431800, 462517, 466368, 467010, 500168, 509429, 521207, 526062, 526628, 558110]",574278,0.004320000000000001,0.00408,0.0012000000000000001
3m_future12m,peak_amp_P1_corrected,Tryptophan synthesis,0.0002,-0.2132422640630668,"[956, 1141, 2459, 2963, 5527, 27120, 27317, 27387, 27957, 28473, 43441, 46844, 47577, 53762, 66484, 76739, 78827, 87936, 88727, 94906, 100854, 127327, 127652, 135883, 136519, 148209, 157706, 161565, 161571, 161595, 175610, 176374, 188179, 205642, 207025, 208147, 234011, 274959, 278902, 280217, 286335, 286942, 295896, 296745, 299516, 305976, 307569, 309948, 326403, 328578, 341961, 342539, 345178, 348903, 358651, 358668, 359354, 366135, 381794, 383941, 392758, 402305, 419191, 439756, 440673, 443694, 444977, 452382, 457473, 461814, 462383, 490014, 490021, 501966, 503640, 513393, 526181, 534995, 535022, 535089, 535093, 541883, 549200, 573597]",574278,0.004320000000000001,0.00408,0.0012000000000000001
